message
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=C, incentiveLevel=ENHANCED, prisonCode=NLI), prison code DMI prisoner id A3171EX, visit 2023-05-24/WEDNESDAY/13:45 <> 15:45 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=C, incentiveLevel=STANDARD, prisonCode=HHI), prison code DMI prisoner id A2130EJ, visit 2023-05-23/TUESDAY/13:45 <> 15:45 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=C, incentiveLevel=STANDARD, prisonCode=NLI), prison code DMI prisoner id A4549EY, visit 2023-05-20/SATURDAY/13:45 <> 15:45 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=U, incentiveLevel=ENHANCED, prisonCode=DMI), prison code DMI prisoner id A9517EX, visit 2023-05-23/TUESDAY/09:30 <> 11:30 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=C, incentiveLevel=ENHANCED, prisonCode=NLI), prison code DMI prisoner id A4490EW, visit 2023-05-20/SATURDAY/13:45 <> 15:45 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=U, incentiveLevel=STANDARD, prisonCode=DMI), prison code DMI prisoner id A4881EY, visit 2023-05-20/SATURDAY/09:30 <> 11:30 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=C, incentiveLevel=ENHANCED, prisonCode=DMI), prison code DMI prisoner id A2331ER, visit 2023-05-21/SUNDAY/09:30 <> 11:30 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=C, incentiveLevel=ENHANCED, prisonCode=DMI), prison code DMI prisoner id A4557EX, visit 2023-05-20/SATURDAY/09:30 <> 11:30 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=C, incentiveLevel=STANDARD, prisonCode=DMI), prison code DMI prisoner id A5098EY, visit 2023-05-21/SUNDAY/09:30 <> 11:30 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=C, incentiveLevel=STANDARD, prisonCode=DMI), prison code DMI prisoner id A0242EY, visit 2023-05-20/SATURDAY/09:30 <> 11:30 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=U, incentiveLevel=STANDARD, prisonCode=OUT), prison code DMI prisoner id A5059AE, visit 2023-05-21/SUNDAY/13:45 <> 15:45 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=U, incentiveLevel=STANDARD, prisonCode=OUT), prison code DMI prisoner id A3213CV, visit 2023-05-18/THURSDAY/13:45 <> 15:45 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=C, incentiveLevel=ENHANCED, prisonCode=NLI), prison code DMI prisoner id A9913CR, visit 2023-05-20/SATURDAY/09:30 <> 11:30 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=U, incentiveLevel=STANDARD, prisonCode=DMI), prison code DMI prisoner id A3833EY, visit 2023-05-23/TUESDAY/09:30 <> 11:30 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=C, incentiveLevel=STANDARD, prisonCode=HHI), prison code DMI prisoner id A2552EE, visit 2023-05-23/TUESDAY/09:30 <> 11:30 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=U, incentiveLevel=STANDARD, prisonCode=DMI), prison code DMI prisoner id A6905EM, visit 2023-05-21/SUNDAY/09:30 <> 11:30 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=C, incentiveLevel=STANDARD, prisonCode=DMI), prison code DMI prisoner id A0261EY, visit 2023-05-28/SUNDAY/09:30 <> 11:30 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=C, incentiveLevel=ENHANCED, prisonCode=DMI), prison code DMI prisoner id A2331ER, visit 2023-05-30/TUESDAY/09:30 <> 11:30 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=I, incentiveLevel=STANDARD, prisonCode=HHI), prison code DMI prisoner id A2549EW, visit 2023-05-20/SATURDAY/09:30 <> 11:30 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=U, incentiveLevel=STANDARD, prisonCode=OUT), prison code DMI prisoner id A4553EY, visit 2023-05-19/FRIDAY/13:45 <> 15:45 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=C, incentiveLevel=ENHANCED, prisonCode=DMI), prison code DMI prisoner id A1621EY, visit 2023-06-04/SUNDAY/09:30 <> 11:30 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=C, incentiveLevel=ENHANCED, prisonCode=DMI), prison code DMI prisoner id A0354AE, visit 2023-05-28/SUNDAY/09:30 <> 11:30 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=C, incentiveLevel=STANDARD, prisonCode=DMI), prison code DMI prisoner id A0104EY, visit 2023-05-27/SATURDAY/09:30 <> 11:30 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=U, incentiveLevel=ENHANCED, prisonCode=DMI), prison code DMI prisoner id A8678AA, visit 2023-05-21/SUNDAY/09:30 <> 11:30 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=C, incentiveLevel=STANDARD, prisonCode=HHI), prison code DMI prisoner id A4638DL, visit 2023-05-22/MONDAY/13:45 <> 15:45 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=C, incentiveLevel=STANDARD, prisonCode=DMI), prison code DMI prisoner id A8154CW, visit 2023-05-24/WEDNESDAY/09:30 <> 11:30 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=C, incentiveLevel=ENHANCED, prisonCode=DMI), prison code DMI prisoner id A8196EX, visit 2023-05-20/SATURDAY/09:30 <> 11:30 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=U, incentiveLevel=ENHANCED, prisonCode=DMI), prison code DMI prisoner id A3758EX, visit 2023-05-20/SATURDAY/09:30 <> 11:30 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=C, incentiveLevel=STANDARD, prisonCode=NLI), prison code DMI prisoner id A1645EP, visit 2023-05-21/SUNDAY/13:45 <> 15:45 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=U, incentiveLevel=ENHANCED, prisonCode=DMI), prison code DMI prisoner id A6850AF, visit 2023-05-21/SUNDAY/09:30 <> 11:30 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=U, incentiveLevel=STANDARD, prisonCode=DMI), prison code DMI prisoner id A1032EY, visit 2023-05-24/WEDNESDAY/09:30 <> 11:30 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=C, incentiveLevel=ENHANCED, prisonCode=DMI), prison code DMI prisoner id A2809EX, visit 2023-05-27/SATURDAY/09:30 <> 11:30 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=C, incentiveLevel=STANDARD, prisonCode=NLI), prison code DMI prisoner id A5493EW, visit 2023-05-20/SATURDAY/13:45 <> 15:45 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=U, incentiveLevel=ENHANCED, prisonCode=DMI), prison code DMI prisoner id A2386EX, visit 2023-05-28/SUNDAY/09:30 <> 11:30 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=C, incentiveLevel=STANDARD, prisonCode=HHI), prison code DMI prisoner id A4638DL, visit 2023-09-08/FRIDAY/09:30 <> 11:30 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=U, incentiveLevel=STANDARD, prisonCode=DMI), prison code DMI prisoner id A1559EY, visit 2023-05-24/WEDNESDAY/09:30 <> 11:30 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=U, incentiveLevel=STANDARD, prisonCode=OUT), prison code DMI prisoner id A4553EY, visit 2023-05-21/SUNDAY/13:45 <> 15:45 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=U, incentiveLevel=ENHANCED, prisonCode=DMI), prison code DMI prisoner id A4774EX, visit 2023-05-23/TUESDAY/09:30 <> 11:30 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=C, incentiveLevel=ENHANCED, prisonCode=DMI), prison code DMI prisoner id A7634EW, visit 2023-06-11/SUNDAY/09:30 <> 11:30 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=C, incentiveLevel=ENHANCED, prisonCode=DMI), prison code DMI prisoner id A3182EV, visit 2023-06-04/SUNDAY/09:30 <> 11:30 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=U, incentiveLevel=STANDARD, prisonCode=OUT), prison code DMI prisoner id A5059AE, visit 2023-05-19/FRIDAY/13:45 <> 15:45 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=C, incentiveLevel=ENHANCED, prisonCode=DMI), prison code DMI prisoner id A1010EY, visit 2023-05-20/SATURDAY/09:30 <> 11:30 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=C, incentiveLevel=STANDARD, prisonCode=DMI), prison code DMI prisoner id A3795EY, visit 2023-05-27/SATURDAY/09:30 <> 11:30 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=U, incentiveLevel=STANDARD, prisonCode=OUT), prison code DMI prisoner id A4553EY, visit 2023-05-20/SATURDAY/13:45 <> 15:45 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=C, incentiveLevel=STANDARD, prisonCode=DMI), prison code DMI prisoner id A8057ER, visit 2023-05-31/WEDNESDAY/09:30 <> 11:30 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=C, incentiveLevel=ENHANCED, prisonCode=DMI), prison code DMI prisoner id A8196EX, visit 2023-05-23/TUESDAY/09:30 <> 11:30 room:Visits Main Hall!
