PRISON,ROOM,TYPE,OPEN,CLOSED,START_TIME,END_TIME,START_DATE,END_DATE,DAY_OF_WEEK,BI_WEEKLY,LOCATION_KEYS
% Hewell Prison
HEI,Visits Main Room,SOCIAL,30,2,13:45:00,14:45:00,2022-05-30,,MONDAY,FALSE,
HEI,Visits Main Room,SOCIAL,30,2,13:45:00,14:45:00,2022-06-01,,WEDNESDAY,FALSE,
HEI,Visits Main Room,SOCIAL,30,2,09:00:00,10:00:00,2022-06-03,,FRIDAY,FALSE,
HEI,Visits Main Room,SOCIAL,30,2,13:45:00,14:45:00,2022-06-04,,SATURDAY,FALSE,
HEI,Visits Main Room,SOCIAL,30,2,13:45:00,14:45:00,2022-06-05,,SUNDAY,FALSE,
% Bristol Prison Week 1 Alternating (Week after start date will not create sessions)
BLI,Main Visits Hall,SOCIAL,20,1,14:00:00,15:00:00,2022-11-23,,TUESDAY,TRUE,BLI_G1
BLI,Main Visits Hall,SOCIAL,20,1,15:30:00,16:30:00,2022-11-23,,TUESDAY,TRUE,BLI_G1
BLI,Main Visits Hall,SOCIAL,20,1,14:00:00,15:00:00,2022-11-23,,WEDNESDAY,TRUE,BLI_G1
BLI,Main Visits Hall,SOCIAL,20,1,15:30:00,16:30:00,2022-11-23,,WEDNESDAY,TRUE,BLI_G2
BLI,Main Visits Hall,SOCIAL,20,1,14:00:00,16:00:00,2022-11-23,,FRIDAY,TRUE,BLI_G1
BLI,Main Visits Hall,SOCIAL,20,1,14:00:00,15:00:00,2022-11-23,,SATURDAY,TRUE,BLI_G1
BLI,Main Visits Hall,SOCIAL,20,1,15:30:00,16:30:00,2022-11-23,,SATURDAY,TRUE,BLI_G1
BLI,Main Visits Hall,SOCIAL,20,1,14:00:00,15:00:00,2022-11-23,,SUNDAY,TRUE,BLI_G1
BLI,Main Visits Hall,SOCIAL,20,1,15:30:00,16:30:00,2022-11-23,,SUNDAY,TRUE,BLI_G2
% Bristol Prison Week 2 Alternating (Week after start date will not create sessions)
BLI,Main Visits Hall,SOCIAL,20,1,14:00:00,15:00:00,2022-11-30,,TUESDAY,TRUE,BLI_G1
BLI,Main Visits Hall,SOCIAL,20,1,15:30:00,16:30:00,2022-11-30,,TUESDAY,TRUE,BLI_G2
BLI,Main Visits Hall,SOCIAL,20,1,14:00:00,16:00:00,2022-11-30,,WEDNESDAY,TRUE,BLI_G1
BLI,Main Visits Hall,SOCIAL,20,1,14:00:00,16:00:00,2022-11-30,,FRIDAY,TRUE,BLI_G2
BLI,Main Visits Hall,SOCIAL,20,1,14:00:00,15:00:00,2022-11-30,,SATURDAY,TRUE,BLI_G1
BLI,Main Visits Hall,SOCIAL,20,1,15:30:00,16:30:00,2022-11-30,,SATURDAY,TRUE,BLI_G1
BLI,Main Visits Hall,SOCIAL,20,1,14:00:00,15:00:00,2022-11-30,,SUNDAY,TRUE,BLI_G1
BLI,Main Visits Hall,SOCIAL,20,1,15:30:00,16:30:00,2022-11-30,,SUNDAY,TRUE,BLI_G1
